Rank;Country;LowerOrSingleHouse_Elections;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Elections;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW
42;Netherlands;2017-03-15;150;47;0.31;2015-05-26;75;27;0.36
48;Australia;2016-07-02;150;45;0.30;2016-07-02;76;30;0.40
89;Eritrea;1994-02-01;150;33;0.22;;;;
101;Slovakia;2016-03-05;150;30;0.20;;;;
128;Uzbekistan;2014-12-21;150;24;0.16;2015-01-13;100;17;0.17
97;Croatia;2016-09-11;151;31;0.21;;;;
105;Saudi Arabia;2016-12-02;151;30;0.20;;;;
107;Madagascar;2013-12-20;151;29;0.19;2015-12-29;63;13;0.21
157;Congo;2017-07-16;151;17;0.11;2017-08-31;69;13;0.19
99;Mauritania;2018-09-01;153;31;0.20;;;;
83;Chile;2017-11-19;155;35;0.23;2017-11-19;43;10;0.23
86;Ireland;2016-02-26;158;35;0.22;2016-04-25;60;18;0.30
109;Guatemala;2015-09-06;158;30;0.19;;;;
11;Senegal;2017-07-30;165;69;0.42;;;;
86;Venezuela (Bolivarian Republic of);2015-12-06;167;37;0.22;;;;
115;Zambia;2016-08-11;167;30;0.18;;;;
135;Chad;2011-02-13;168;25;0.15;;;;
14;Norway;2017-09-11;169;69;0.41;;;;
111;Colombia;2018-03-11;171;32;0.19;2018-03-11;105;22;0.21
122;Niger;2016-02-21;171;29;0.17;;;;
26;Denmark;2015-06-18;179;67;0.37;;;;
43;Cameroon;2013-09-30;180;56;0.31;2018-03-25;100;26;0.26
27;Austria;2017-10-15;183;68;0.37;;61;22;0.36
128;Libya;2014-06-25;188;30;0.16;;;;
62;Dominican Republic;2016-05-15;190;51;0.27;2016-05-15;32;3;0.09
124;Malawi;2014-05-20;192;32;0.17;;;;
148;Hungary;2018-04-08;199;25;0.13;;;;
12;Finland;2015-04-19;200;83;0.42;;;;
37;Switzerland;2015-10-18;200;65;0.33;2011-10-23;46;7;0.15
84;Czech Republic;2017-10-20;200;45;0.23;2018-10-05;81;13;0.16
30;Tunisia;2014-10-26;217;78;0.36;;;;
48;Angola;2017-08-23;220;66;0.30;;;;
140;Malaysia;2018-05-09;222;32;0.14;;67;13;0.19
182;Sri Lanka;2015-08-17;225;12;0.05;;;;
31;Portugal;2015-10-04;230;82;0.36;;;;
65;Bulgaria;2017-03-26;240;62;0.26;;;;
181;Thailand;2014-08-07;240;13;0.05;;;;
25;Serbia;2016-04-24;247;93;0.38;;;;
18;Mozambique;2014-10-15;250;99;0.40;;;;
76;Afghanistan;2018-10-20;250;59;0.24;2015-01-10;68;16;0.24
144;Syrian Arab Republic;2016-04-13;250;33;0.13;;;;
19;Argentina;2017-10-22;255;99;0.39;2017-10-22;72;30;0.42
160;Cote d'Ivoire;2016-12-18;255;28;0.11;2018-03-25;66;8;0.12
40;Zimbabwe;2018-07-30;270;86;0.32;2018-07-30;80;35;0.44
36;Nepal;2017-11-26;275;90;0.33;2018-02-07;59;22;0.37
73;Somalia;2016-10-23;275;67;0.24;2016-10-23;54;13;0.24
145;Ghana;2016-12-07;275;36;0.13;;;;
179;Iran;2016-02-26;289;17;0.06;;;;
51;Philippines;2016-05-09;292;86;0.30;2016-05-09;24;6;0.25
120;Republic of Korea;2016-04-13;298;51;0.17;;;;
111;Greece;2015-09-20;300;56;0.19;;;;
189;Yemen;2003-04-27;301;1;0.00;2001-04-28;111;3;0.03
67;Iraq;2018-05-12;329;83;0.25;;;;
95;Romania;2016-12-11;329;68;0.21;2016-12-11;136;19;0.14
61;Canada;2015-10-19;334;90;0.27;;105;49;0.47
100;Pakistan;2018-08-25;341;69;0.20;2018-03-03;104;20;0.19
95;Bangladesh;2018-12-30;348;72;0.21;;;;
5;Sweden;2018-09-09;349;165;0.47;;;;
90;Kenya;2017-07-08;349;76;0.22;2017-07-08;68;21;0.31
13;Spain;2016-06-26;350;144;0.41;2016-06-26;266;98;0.37
180;Nigeria;2015-03-28;359;20;0.06;2015-03-28;109;7;0.06
57;South Sudan;2016-08-04;383;109;0.29;2011-08-05;50;6;0.12
10;South Africa;2014-05-07;393;168;0.43;2014-05-21;54;19;0.35
28;United Republic of Tanzania;2015-10-25;393;145;0.37;;;;
97;Morocco;2016-10-07;395;81;0.21;2015-10-02;120;14;0.12
155;Ukraine;2014-10-26;423;49;0.12;;;;
76;United States of America;2018-11-06;433;102;0.24;2018-11-06;100;25;0.25
157;Myanmar;2015-11-08;433;49;0.11;2015-11-08;224;27;0.12
130;Russian Federation;2016-09-18;450;71;0.16;;170;31;0.18
33;Uganda;2016-02-18;459;160;0.35;;;;
55;Poland;2015-10-25;460;134;0.29;2015-10-25;100;14;0.14
65;Algeria;2017-05-04;462;119;0.26;2018-12-29;132;9;0.07
164;Japan;2017-10-22;463;47;0.10;2016-07-10;241;50;0.21
58;Sudan;2015-04-13;481;133;0.28;2015-06-01;71;19;0.27
162;Democratic Republic of the Congo;2018-12-30;485;50;0.10;2007-01-19;108;5;0.05
63;Viet Nam;2016-05-22;494;132;0.27;;;;
4;Mexico;2018-07-01;500;241;0.48;2018-07-01;128;63;0.49
132;Brazil;2018-10-07;513;77;0.15;2018-10-07;81;12;0.15
148;India;2014-04-07;524;66;0.13;2018-01-16;244;28;0.12
19;Ethiopia;2015-05-24;547;212;0.39;2015-10-05;153;49;0.32
114;Indonesia;2014-04-09;560;102;0.18;;;;
17;France;2017-06-11;577;229;0.40;2017-09-24;348;112;0.32
119;Turkey;2018-06-24;596;104;0.17;;;;
135;Egypt;2015-10-17;596;89;0.15;;;;
2;Cuba;2018-03-11;605;322;0.53;;;;
31;Italy;2018-03-04;630;225;0.36;2018-03-04;320;110;0.34
39;United Kingdom;2017-06-08;650;208;0.32;;789;208;0.26
127;Democratic People's Republic of Korea;2014-03-09;687;112;0.16;;;;
47;Germany;2017-09-24;709;219;0.31;;69;27;0.39
72;China;2018-03-05;2975;742;0.25;;;;
