Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
162;Botswana;2018;63;6;0.10;0;0;0.00;0.095
163;Belize;2018;32;3;0.09;13;2;0.15;0.111
164;Brunei Darussalam;2018;33;3;0.09;0;0;0.00;0.091
164;Marshall Islands;2018;33;3;0.09;0;0;0.00;0.091
166;Democratic Republic of the Congo;2018;492;44;0.09;108;5;0.05;0.082
167;Mali;2018;147;13;0.09;0;0;0.00;0.088
168;Central African Republic;2018;140;12;0.09;0;0;0.00;0.086
169;Bhutan;2018;47;4;0.09;25;2;0.08;0.083
170;Tonga;2018;26;2;0.08;0;0;0.00;0.077
171;Bahrain;2018;40;3;0.08;40;9;0.23;0.150
172;Benin;2018;83;6;0.07;0;0;0.00;0.072
173;Tuvalu;2018;15;1;0.07;0;0;0.00;0.067
174;Kiribati;2018;46;3;0.07;0;0;0.00;0.065
175;Swaziland;2018;65;4;0.06;30;10;0.33;0.147
176;Comoros;2018;33;2;0.06;0;0;0.00;0.061
177;Iran (Islamic Republic of);2018;289;17;0.06;0;0;0.00;0.059
177;Maldives;2018;85;5;0.06;0;0;0.00;0.059
179;Sri Lanka;2018;225;13;0.06;0;0;0.00;0.058
180;Nigeria;2018;360;20;0.06;108;7;0.07;0.058
181;Thailand;2018;250;12;0.05;0;0;0.00;0.048
182;Kuwait;2018;65;2;0.03;0;0;0.00;0.031
182;Lebanon;2018;128;4;0.03;0;0;0.00;0.031
184;Haiti;2018;118;3;0.03;28;1;0.04;0.027
185;Solomon Islands;2018;50;1;0.02;0;0;0.00;0.020
186;Oman;2018;85;1;0.01;85;14;0.17;0.088
187;Micronesia (Federated States of);2018;14;0;0.00;0;0;0.00;0.000
187;Papua New Guinea;2018;106;0;0.00;0;0;0.00;0.000
187;Vanuatu;2018;52;0;0.00;0;0;0.00;0.000
187;Yemen;2018;275;0;0.00;111;2;0.02;0.005
